,date,fare
0,2016-05-10,199.84000000000003
1,2016-04-10,153.33
2,2016-04-23,354.51
3,2016-04-16,267.15000000000003
4,2016-05-02,63.11
5,2016-05-27,65.49
6,2016-06-03,178.65999999999997
7,2016-05-21,117.91
8,2016-05-25,144.64000000000001
9,2016-04-22,55.17
10,2016-06-24,122.51
11,2016-04-26,150.59
12,2016-04-04,49.730000000000004
13,2016-06-07,246.08
14,2016-06-22,183.16
15,2016-05-31,90.98999999999998
16,2016-06-08,233.7
17,2016-06-01,260.77
18,2016-05-03,82.59
19,2016-04-19,139.83
20,2016-05-20,102.07
21,2016-04-24,146.95
22,2016-06-11,55.209999999999994
23,2016-05-01,132.35
24,2016-06-12,128.98
25,2016-05-13,54.910000000000004
26,2016-04-11,79.22
27,2016-04-27,83.05000000000001
28,2016-05-12,92.5
29,2016-05-29,66.44999999999999
30,2016-06-16,61.0
31,2016-05-14,162.59
32,2016-05-28,66.81
33,2016-06-14,230.0
34,2016-06-02,140.26000000000002
35,2016-05-17,92.06
36,2016-04-18,108.04
37,2016-04-30,103.07000000000001
38,2016-06-15,51.04
39,2016-05-24,121.97
40,2016-06-23,82.15
41,2016-04-15,25.82
42,2016-06-25,23.37
43,2016-05-18,8.76
