,date,fare
0,2016-05-29,260.09999999999997
1,2016-04-28,66.21000000000001
2,2016-06-20,157.61
3,2016-04-25,130.99
4,2016-06-04,143.28
5,2016-06-01,139.55
6,2016-06-23,81.18
7,2016-05-02,106.24999999999999
8,2016-05-17,237.09
9,2016-05-03,85.88
10,2016-05-31,196.56
11,2016-06-07,32.629999999999995
12,2016-05-12,199.64999999999998
13,2016-04-17,183.71
14,2016-04-27,156.85
15,2016-06-18,78.19
16,2016-05-13,190.28
17,2016-05-08,200.54000000000002
18,2016-06-03,226.10000000000002
19,2016-04-30,201.10000000000002
20,2016-06-14,184.76999999999998
21,2016-05-07,221.79999999999998
22,2016-05-14,212.85000000000002
23,2016-06-11,75.82
24,2016-06-10,120.78
25,2016-04-21,121.46
26,2016-06-22,122.85
27,2016-06-12,107.44
28,2016-04-15,85.49
29,2016-06-09,134.14
30,2016-06-02,136.81
31,2016-05-06,205.21
32,2016-06-06,17.1
33,2016-05-05,72.05000000000001
34,2016-04-22,190.69
35,2016-06-26,139.28
36,2016-05-04,89.53
37,2016-06-21,42.650000000000006
38,2016-04-19,182.82
39,2016-04-24,31.759999999999998
40,2016-06-16,40.07
