,date,fare,distance,duration,number of ride
0,2016-05-05,66.23,32772,2439,4
1,2016-06-15,172.82,87916,7216,6
2,2016-05-09,27.13,8816,961,2
3,2016-06-10,190.05,86718,8710,3
4,2016-06-19,31.56,23865,1281,1
5,2016-06-01,111.57,49237,4296,6
6,2016-05-15,28.93,8785,1251,1
7,2016-06-08,94.3,81282,3949,2
8,2016-06-16,63.019999999999996,28165,2500,3
9,2016-05-31,21.7,5779,700,2
10,2016-05-18,61.65,28683,2425,3
11,2016-05-11,55.26,26232,2305,2
12,2016-06-24,59.839999999999996,28275,2529,2
13,2016-06-14,21.25,6772,865,1
14,2016-06-02,89.42999999999999,81021,3501,3
15,2016-06-23,36.59,15024,1606,1
