,date,fare,distance,duration,number of ride
0,2016-05-04,249.54999999999995,102990,10329,10
1,2016-06-07,189.10000000000002,74806,7572,9
2,2016-06-26,309.36,135930,12040,16
3,2016-05-15,182.09,33601,7304,10
4,2016-04-19,194.47,38654,7914,10
5,2016-06-18,234.56000000000003,73190,9170,13
6,2016-06-11,128.13000000000002,62124,4872,7
7,2016-06-02,144.84000000000003,25528,5809,8
8,2016-06-25,241.46999999999997,64191,9793,12
9,2016-06-12,265.79999999999995,118089,10482,13
10,2016-05-31,291.05,154864,11733,12
11,2016-04-29,270.06,62119,10907,14
12,2016-06-17,140.24,42382,5645,7
13,2016-04-17,255.52999999999997,106559,9638,15
14,2016-04-16,247.45000000000002,76375,10214,11
15,2016-05-05,144.92,29774,5588,9
16,2016-05-13,229.75000000000003,63155,9383,11
17,2016-05-26,373.49,167922,15354,15
18,2016-05-02,137.73,22137,5463,8
19,2016-04-27,254.94,50839,10394,13
20,2016-05-11,220.89,126696,8469,11
21,2016-04-26,312.19,114880,12534,15
22,2016-06-23,252.21,63268,9968,14
23,2016-04-18,180.94,77422,7322,8
24,2016-04-22,281.71999999999997,76452,11219,15
25,2016-05-06,164.38,63540,6753,7
26,2016-05-20,46.580000000000005,10731,1767,3
27,2016-05-23,195.69999999999996,82448,7666,10
28,2016-05-22,181.16,66076,7415,8
29,2016-06-16,99.51999999999998,24934,3645,7
30,2016-05-29,121.14999999999999,20219,4221,10
31,2016-04-28,226.84000000000003,44376,9171,12
32,2016-04-30,188.34,42880,7564,10
33,2016-05-25,215.91999999999996,41099,8819,11
34,2016-06-13,226.84,69799,8990,12
35,2016-06-01,99.55000000000001,26429,3831,6
36,2016-05-07,164.03,50229,6243,10
37,2016-05-30,270.68,149949,10705,12
38,2016-05-09,172.04000000000002,124929,6911,6
39,2016-05-10,244.92999999999998,89847,9986,11
40,2016-05-12,139.01999999999998,34522,5638,7
41,2016-06-08,61.199999999999996,11367,2525,3
42,2016-04-24,99.26999999999998,19156,3673,7
43,2016-05-01,155.74,71529,6246,7
44,2016-06-22,70.98,13636,2628,5
45,2016-06-10,42.19,16521,1496,3
46,2016-04-15,275.32,115408,11194,12
47,2016-04-25,127.88,33367,4673,9
48,2016-05-21,70.36999999999999,16166,2969,3
49,2016-04-23,267.67,63708,10185,17
50,2016-06-20,89.37,23790,3515,5
51,2016-04-14,130.64000000000001,46231,4921,8
52,2016-04-21,268.57,60177,11431,11
53,2016-06-15,49.81,8022,2150,2
54,2016-05-03,34.75,7720,1171,3
55,2016-06-06,49.87,10984,1741,4
56,2016-06-24,76.3,16922,3273,3
57,2016-06-19,200.99,131619,7786,9
58,2016-05-14,151.89000000000001,44870,5648,10
59,2016-06-03,52.8,10539,2484,1
60,2016-05-08,192.80000000000004,62594,7656,10
61,2016-04-20,16.84,5351,645,1
62,2016-06-14,71.85,26215,2584,5
