,date,fare,distance,duration,number of ride
0,2016-04-28,49.58,19452,1861,3
1,2016-04-09,108.95,26971,4318,6
2,2016-04-06,118.38,37856,4928,5
3,2016-04-12,32.39,9706,1425,1
4,2016-04-07,127.97,49211,5347,5
5,2016-04-17,44.349999999999994,27737,1725,2
6,2016-04-27,96.53,58014,4036,3
7,2016-04-20,64.79,15130,2490,4
8,2016-04-29,52.620000000000005,12877,2066,3
9,2016-04-26,33.88,7933,1320,2
10,2016-04-24,30.299999999999997,9050,1125,2
11,2016-04-11,24.950000000000003,7773,855,2
12,2016-04-22,69.61,17661,2723,4
13,2016-04-21,86.86,19353,4198,1
14,2016-04-19,45.11,13763,1668,3
