,date,fare
0,2016-05-03,133.51
1,2016-05-20,170.44
2,2016-06-03,165.39999999999998
3,2016-05-27,324.24000000000007
4,2016-06-14,113.28
5,2016-06-24,319.81999999999994
6,2016-04-23,123.52000000000001
7,2016-05-10,121.95000000000002
8,2016-05-02,68.35
9,2016-06-22,180.97000000000003
10,2016-04-29,152.62
11,2016-05-29,364.81999999999994
12,2016-06-08,90.92
13,2016-06-20,298.71
14,2016-05-01,35.2
15,2016-05-28,168.1
16,2016-06-01,159.45000000000002
17,2016-05-17,199.19
18,2016-05-12,73.15
19,2016-05-06,204.05
20,2016-04-26,122.75000000000001
21,2016-05-07,212.76000000000002
22,2016-05-11,143.20999999999998
23,2016-06-07,247.64
24,2016-06-06,187.62
25,2016-05-31,135.07999999999998
26,2016-06-23,217.26000000000002
27,2016-06-26,187.10999999999999
28,2016-05-14,167.10000000000002
29,2016-05-05,162.39000000000001
30,2016-06-18,234.10999999999999
31,2016-04-24,131.19
32,2016-04-22,84.69
33,2016-05-09,97.66
34,2016-04-30,166.66
35,2016-06-05,172.52
36,2016-06-15,24.78
37,2016-06-25,266.17
38,2016-06-19,192.67
39,2016-05-30,90.88999999999999
40,2016-05-21,191.53999999999996
41,2016-05-04,97.75
42,2016-04-25,64.85
43,2016-05-19,87.82
44,2016-06-04,88.66
45,2016-06-16,62.949999999999996
46,2016-05-16,61.6
47,2016-05-13,113.23
48,2016-04-20,9.87
49,2016-04-27,43.97
50,2016-05-15,18.47
51,2016-06-09,24.72
