,date,fare,distance,duration,number of ride
0,2016-04-06,12.0,1466,420,1
1,2016-04-21,16.61,3913,643,1
2,2016-05-23,40.08,10248,1627,2
3,2016-05-20,51.54,9264,2036,3
4,2016-03-29,8.45,1587,234,1
5,2016-04-14,17.17,3949,672,1
6,2016-05-02,15.36,4583,573,1
7,2016-04-05,9.69,1219,301,1
8,2016-04-09,22.86,6465,951,1
9,2016-05-12,18.76,5633,743,1
10,2016-04-22,17.75,3732,704,1
11,2016-05-11,52.05,12095,1847,4
12,2016-05-17,30.759999999999998,7342,1161,2
13,2016-04-11,22.51,11869,894,1
14,2016-06-07,76.24000000000001,20361,3050,4
15,2016-04-19,30.68,6665,1162,2
16,2016-04-12,27.759999999999998,9779,987,2
17,2016-03-28,42.35,14554,1714,2
18,2016-05-05,23.35,4150,993,1
