,date,fare,distance,duration,number of ride
0,2016-05-06,64.42,27124,2776,2
1,2016-05-01,33.35,20451,1203,2
2,2016-04-27,130.55,26498,5253,7
3,2016-05-03,8.71,2212,243,1
4,2016-04-09,121.5,33922,4924,6
5,2016-04-29,31.509999999999998,5543,1213,2
6,2016-04-12,29.93,13631,1073,2
7,2016-04-26,11.52,3007,384,1
8,2016-04-22,58.06,31987,2410,2
9,2016-04-23,54.04,19365,2290,2
10,2016-04-13,42.62,21589,1874,1
11,2016-04-30,24.64,13138,996,1
12,2016-05-13,76.17999999999999,47351,3050,3
13,2016-04-21,125.4,43917,5055,6
14,2016-05-05,19.53,3690,797,1
15,2016-04-10,37.81,19985,1439,2
16,2016-04-14,40.55,14159,1623,2
17,2016-04-11,43.09,16480,1739,2
18,2016-04-18,13.58,4356,482,1
19,2016-05-04,40.33,7273,1661,2
20,2016-05-16,14.77,2631,556,1
