,date,fare
0,2016-04-22,227.43999999999997
1,2016-06-03,185.86
2,2016-05-24,213.03000000000006
3,2016-05-25,261.29
4,2016-04-18,393.96
5,2016-06-04,269.49
6,2016-05-12,261.46000000000004
7,2016-06-20,320.65000000000003
8,2016-04-20,429.55999999999995
9,2016-04-25,184.66999999999996
10,2016-04-21,283.46000000000004
11,2016-06-14,274.19
12,2016-05-31,290.84999999999997
13,2016-04-19,88.53999999999999
14,2016-04-30,93.35
15,2016-06-24,305.83
16,2016-06-01,212.05
17,2016-06-02,89.19
18,2016-05-11,243.36
19,2016-05-13,201.32999999999998
20,2016-05-17,73.48
21,2016-04-26,169.05
22,2016-06-23,264.02
23,2016-04-28,175.35999999999996
24,2016-06-22,292.53000000000003
25,2016-06-21,226.23000000000002
26,2016-04-29,181.78
27,2016-05-16,174.65
28,2016-04-27,262.03
29,2016-05-19,176.56
30,2016-05-27,148.07999999999998
31,2016-05-03,124.65
