,date,fare
0,2016-06-21,145.85999999999999
1,2016-05-30,293.58
2,2016-06-26,126.67
3,2016-05-23,186.4
4,2016-05-13,200.35999999999999
5,2016-05-20,233.16000000000003
6,2016-05-31,236.86999999999998
7,2016-06-24,396.81
8,2016-06-08,107.76000000000002
9,2016-06-20,161.68
10,2016-05-26,257.2
11,2016-06-25,240.18999999999997
12,2016-05-14,137.10000000000002
13,2016-06-07,129.91
14,2016-06-17,310.08
15,2016-05-17,100.14
16,2016-06-18,258.18
17,2016-06-13,88.64
18,2016-05-24,127.85
19,2016-05-27,195.70999999999998
20,2016-05-21,309.14
21,2016-06-16,19.04
22,2016-05-16,278.6
23,2016-05-22,143.63
24,2016-06-23,172.63
25,2016-06-14,282.21
26,2016-05-25,210.24
27,2016-06-15,130.79999999999998
28,2016-06-22,80.25
29,2016-06-01,195.51
30,2016-05-29,112.38
