,date,fare,distance,duration,number of ride
0,2016-04-27,289.96999999999997,91455,11543,15
1,2016-05-02,333.78999999999996,88991,13455,17
2,2016-05-24,181.08999999999997,38278,7219,10
3,2016-04-28,489.67999999999995,153135,20542,20
4,2016-06-13,160.36,34060,6559,8
5,2016-06-17,268.63,97465,10777,13
6,2016-06-10,261.09000000000003,106183,10908,10
7,2016-05-26,287.84,69005,12374,11
8,2016-06-04,156.75,32419,6578,7
9,2016-06-03,204.79000000000002,88949,8681,7
10,2016-06-01,105.94,33714,4113,6
11,2016-06-02,145.72,47299,5896,7
12,2016-05-30,212.01000000000002,108427,8527,9
13,2016-05-29,122.36,32346,4783,7
14,2016-06-16,103.4,17221,4098,6
15,2016-04-29,328.33,130927,13654,13
16,2016-04-25,339.62999999999994,150286,13517,16
17,2016-06-22,239.75000000000003,104767,9609,11
18,2016-05-19,318.70000000000005,77561,13140,15
19,2016-06-23,33.62,9181,1297,2
20,2016-05-23,137.88,43629,5513,7
21,2016-06-25,208.35,149508,8434,7
22,2016-05-21,333.89,135927,13712,14
23,2016-06-20,224.17999999999998,78459,9180,10
24,2016-05-20,299.73,96270,11820,16
25,2016-05-18,155.41,48496,6393,7
26,2016-06-07,116.24,39633,4608,6
27,2016-05-25,201.45000000000002,110126,7965,9
28,2016-05-28,114.09,36980,4319,7
29,2016-06-08,126.83000000000001,35563,4798,8
30,2016-06-24,121.75,40663,5280,4
31,2016-04-26,332.74,112142,13627,15
32,2016-06-15,218.26000000000002,46244,8905,11
33,2016-06-06,123.03999999999999,37215,5372,4
34,2016-04-30,88.55000000000001,33153,3405,5
35,2016-05-22,68.66,11128,2720,4
36,2016-06-09,75.25999999999999,14797,3234,3
37,2016-05-03,50.980000000000004,24921,2091,2
38,2016-06-05,15.65,3601,595,1
