,date,fare
0,2016-06-06,264.74
1,2016-04-30,113.07
2,2016-04-13,291.53
3,2016-04-06,275.11
4,2016-06-16,323.5
5,2016-06-10,183.63000000000002
6,2016-06-21,151.85
7,2016-04-21,272.75000000000006
8,2016-06-23,141.93
9,2016-04-16,257.94
10,2016-04-10,183.01999999999998
11,2016-06-13,41.36
12,2016-04-12,230.79000000000002
13,2016-04-29,286.69999999999993
14,2016-06-22,215.84
15,2016-05-02,223.82
16,2016-04-08,242.01
17,2016-04-27,247.5
18,2016-06-17,172.72
19,2016-04-20,310.37
20,2016-05-06,227.07999999999998
21,2016-06-15,139.44
22,2016-05-03,209.35
23,2016-04-07,273.81999999999994
24,2016-04-28,246.17000000000002
25,2016-05-11,235.99
26,2016-04-04,51.33
27,2016-05-09,166.27
28,2016-04-18,203.17999999999998
29,2016-04-19,184.62
30,2016-06-09,218.15000000000003
31,2016-05-12,199.53999999999996
32,2016-04-05,172.29
33,2016-06-14,164.08
34,2016-04-15,235.45000000000005
35,2016-05-07,160.15
36,2016-05-10,179.38
37,2016-06-20,98.89
38,2016-05-05,135.91
39,2016-04-11,98.52000000000001
40,2016-04-14,283.64000000000004
41,2016-05-13,259.46999999999997
42,2016-04-09,335.40999999999997
43,2016-05-14,175.26999999999998
44,2016-06-11,201.16
45,2016-06-25,168.10000000000002
46,2016-04-23,108.63
47,2016-04-22,79.15
48,2016-04-26,147.17000000000002
49,2016-05-04,302.7500000000001
50,2016-06-18,187.29000000000002
51,2016-04-25,99.4
52,2016-06-24,120.47000000000001
53,2016-05-16,47.0
54,2016-06-08,62.559999999999995
55,2016-05-08,30.450000000000003
