,date,fare
0,2016-05-15,340.05000000000007
1,2016-06-17,248.25
2,2016-06-09,286.34999999999997
3,2016-05-08,345.84000000000003
4,2016-05-28,162.0
5,2016-05-10,114.67
6,2016-05-14,214.09
7,2016-06-08,294.7
8,2016-05-31,178.2
9,2016-05-29,106.94000000000001
10,2016-06-23,302.21
11,2016-06-03,110.25999999999999
12,2016-05-19,402.23999999999995
13,2016-06-02,265.14
14,2016-05-25,231.61
15,2016-06-04,218.66000000000003
16,2016-06-24,282.86
17,2016-05-21,404.98999999999995
18,2016-06-13,220.21000000000004
19,2016-06-18,346.24
20,2016-06-14,315.06
21,2016-06-26,213.17
22,2016-06-11,234.11999999999998
23,2016-05-12,194.95999999999998
24,2016-05-11,262.71000000000004
25,2016-05-26,367.52000000000004
26,2016-05-27,87.08
27,2016-06-15,134.9
28,2016-06-07,276.53999999999996
29,2016-05-20,263.88000000000005
30,2016-06-22,174.2
31,2016-05-17,192.57
32,2016-06-01,266.39
33,2016-06-20,148.93
34,2016-05-05,296.59999999999997
35,2016-05-06,103.1
36,2016-05-04,105.29
37,2016-05-09,147.15
38,2016-05-24,307.21
39,2016-05-07,218.85000000000002
40,2016-06-10,273.88
41,2016-05-18,233.98
42,2016-06-16,308.49000000000007
43,2016-06-05,69.88
44,2016-06-25,310.93
45,2016-06-12,160.74
46,2016-05-22,115.46000000000001
47,2016-06-06,160.48000000000002
48,2016-05-13,184.7
49,2016-06-19,246.70000000000002
50,2016-05-16,38.370000000000005
51,2016-06-21,169.34
52,2016-05-23,40.05
