,date,fare
0,2016-06-09,115.75
1,2016-05-02,90.99
2,2016-05-15,316.64
3,2016-05-06,155.16
4,2016-05-31,105.46999999999998
5,2016-05-11,140.72
6,2016-04-22,360.3
7,2016-05-13,286.43
8,2016-04-23,180.90999999999997
9,2016-05-12,83.55000000000001
10,2016-05-07,243.94
11,2016-05-09,195.99
12,2016-05-21,264.11999999999995
13,2016-05-04,167.28
14,2016-06-02,83.13
15,2016-04-24,60.25
16,2016-04-25,99.2
17,2016-04-26,137.36999999999998
18,2016-05-19,191.47000000000003
19,2016-05-08,56.58
20,2016-06-01,111.46999999999998
21,2016-04-29,86.51
22,2016-05-20,138.75
23,2016-05-18,126.08
24,2016-06-21,134.61
25,2016-06-10,67.6
26,2016-05-14,276.11999999999995
27,2016-05-05,189.42000000000002
28,2016-06-14,118.18999999999998
29,2016-04-30,223.35999999999999
30,2016-05-03,111.22000000000001
31,2016-05-17,233.55999999999997
32,2016-04-28,155.6
33,2016-05-30,207.81
34,2016-06-22,89.52999999999999
35,2016-04-27,161.53
36,2016-05-24,151.99
37,2016-05-01,11.61
38,2016-04-21,128.79000000000002
39,2016-06-23,72.45
40,2016-05-25,109.48
41,2016-06-03,28.33
42,2016-05-26,157.76999999999998
