,date,fare,distance,duration,number of ride
0,2016-05-20,238.2,87554,9261,13
1,2016-06-01,334.86000000000007,133663,14169,12
2,2016-05-13,238.97999999999996,104127,9183,13
3,2016-05-27,273.79,105293,10397,16
4,2016-05-05,87.2,24978,3198,6
5,2016-05-03,47.81,15398,1798,3
6,2016-06-14,265.82000000000005,152616,10824,10
7,2016-05-14,195.93999999999997,111068,7866,8
8,2016-05-26,190.81,54442,8002,8
9,2016-06-20,249.16,103558,9266,15
10,2016-05-17,154.21,82272,6285,6
11,2016-05-25,180.81,39472,6804,12
12,2016-05-10,104.79999999999998,44407,4173,5
13,2016-06-17,233.04000000000002,60856,8594,16
14,2016-05-09,180.18,117705,6996,8
15,2016-05-16,280.43,132034,11537,11
16,2016-06-07,206.87,125808,8331,8
17,2016-06-18,248.48,83695,9824,13
18,2016-06-21,412.14,161463,17221,16
19,2016-06-02,229.13,56661,9203,12
20,2016-06-13,190.15,118408,7315,9
21,2016-06-06,219.49,77951,8743,11
22,2016-06-23,337.63,131587,13938,14
23,2016-05-30,161.17,116622,6352,6
24,2016-06-03,195.26999999999998,60982,7601,11
25,2016-05-12,255.3,115039,10739,9
26,2016-06-16,185.13,98405,7588,7
27,2016-05-15,153.45,82916,6045,7
28,2016-06-12,18.97,9154,729,1
29,2016-06-24,328.95,130896,13294,15
30,2016-06-22,139.14,57270,5286,8
31,2016-05-07,93.42,44133,3581,5
32,2016-06-10,117.46,27445,4172,9
33,2016-05-24,225.65,77922,8674,13
34,2016-05-22,166.45,52178,5964,12
35,2016-06-08,290.72999999999996,129953,11895,12
36,2016-05-28,281.65,169509,12899,3
37,2016-05-18,193.26000000000002,49777,7967,9
38,2016-05-21,157.22,73250,6506,6
39,2016-06-15,278.68000000000006,120097,12314,7
40,2016-05-31,198.85,64822,8151,9
41,2016-05-23,270.05,107740,11169,11
42,2016-06-04,303.09000000000003,193811,11887,13
43,2016-06-25,134.25,79699,5261,6
44,2016-05-06,119.60000000000002,57240,4658,6
45,2016-05-29,70.49000000000001,18799,2761,4
46,2016-06-09,210.48999999999998,83035,9216,6
47,2016-06-19,94.59,42276,3264,7
48,2016-06-26,231.53000000000003,195142,10101,3
49,2016-05-11,65.42,24803,2649,3
50,2016-05-19,236.62,109882,10583,5
51,2016-05-08,11.35,4702,363,1
52,2016-05-02,52.72,29973,2341,1
53,2016-04-29,15.31,3383,579,1
