,date,fare
0,2016-06-07,372.14
1,2016-06-22,185.74
2,2016-05-29,26.09
3,2016-05-20,285.13
4,2016-06-17,343.88
5,2016-05-24,266.55
6,2016-05-15,137.82
7,2016-06-26,287.7099999999999
8,2016-05-10,215.15
9,2016-06-09,318.18
10,2016-05-27,245.90000000000003
11,2016-05-22,159.43
12,2016-05-23,148.73000000000002
13,2016-05-13,287.58000000000004
14,2016-05-28,170.33
15,2016-06-25,105.36
16,2016-06-04,236.94
17,2016-06-10,266.44
18,2016-05-31,239.95
19,2016-06-01,120.44
20,2016-06-23,221.30000000000004
21,2016-06-16,111.88
22,2016-06-14,246.09
23,2016-05-30,172.76
24,2016-05-12,298.6
25,2016-06-03,148.68
26,2016-06-21,103.72999999999999
27,2016-05-11,222.79999999999998
28,2016-06-05,169.76999999999998
29,2016-06-06,86.36000000000001
30,2016-06-08,276.99
31,2016-06-20,96.67
32,2016-05-06,155.25
33,2016-06-02,63.33
34,2016-05-25,123.93
35,2016-06-18,227.24000000000007
36,2016-05-17,205.26
37,2016-05-08,160.69
38,2016-06-11,190.25
39,2016-06-15,184.29000000000002
40,2016-05-18,209.54000000000002
41,2016-05-26,258.88
42,2016-05-14,166.85
43,2016-06-19,106.26000000000002
44,2016-05-09,79.68
45,2016-06-13,60.14
46,2016-05-19,300.56
47,2016-06-24,258.94
48,2016-05-16,158.02
49,2016-05-21,162.15000000000003
50,2016-05-05,23.26
51,2016-05-07,199.11
