,date,fare
0,2016-06-21,318.53
1,2016-06-19,278.29999999999995
2,2016-06-18,202.83999999999997
3,2016-05-14,347.53
4,2016-06-05,204.88
5,2016-05-30,266.99
6,2016-05-08,160.14
7,2016-06-01,135.72
8,2016-05-28,127.69000000000001
9,2016-06-09,72.28999999999999
10,2016-04-24,76.09
11,2016-05-01,272.32000000000005
12,2016-04-12,99.98
13,2016-06-04,387.06000000000006
14,2016-05-22,138.41
15,2016-06-12,166.65
16,2016-06-20,131.79999999999998
17,2016-04-20,54.51
18,2016-06-13,23.44
19,2016-04-26,31.76
20,2016-06-24,70.7
21,2016-06-14,47.400000000000006
22,2016-05-03,96.64000000000001
23,2016-04-17,89.83999999999999
24,2016-05-04,27.450000000000003
25,2016-06-06,208.38000000000002
26,2016-05-25,88.69999999999999
27,2016-04-22,99.85999999999999
28,2016-06-03,15.81
29,2016-06-08,98.81
30,2016-06-10,74.71000000000001
31,2016-06-11,73.41
32,2016-06-07,186.5
33,2016-04-18,44.92
34,2016-04-21,50.489999999999995
35,2016-04-10,49.2
36,2016-05-24,118.29
37,2016-04-28,54.48
38,2016-06-02,82.71000000000001
39,2016-05-15,50.19
40,2016-05-17,19.71
