,date,fare,distance,duration,number of ride
0,2016-04-30,83.1,34364,3112,5
1,2016-04-22,76.53999999999999,28320,3204,3
2,2016-04-24,20.33,6885,816,1
3,2016-05-01,38.58,31409,1593,1
4,2016-04-25,59.08,15345,2386,3
5,2016-05-03,23.81,19603,907,1
6,2016-05-05,131.04,94168,5383,4
7,2016-04-27,19.47,5374,782,1
8,2016-05-02,109.06,36329,4453,5
9,2016-04-29,25.13,7485,1062,1
10,2016-04-20,27.950000000000003,5585,1027,2
11,2016-04-23,64.83,44472,2674,2
12,2016-04-26,48.96,18662,2030,2
13,2016-05-04,59.74,12775,2830,1
