,date,fare,distance,duration,number of ride
0,2016-04-20,50.11,20944,1878,3
1,2016-04-06,123.10000000000001,40662,4567,8
2,2016-04-05,121.07,66685,4863,5
3,2016-04-25,53.24999999999999,16387,2074,3
4,2016-05-12,52.31,15218,2425,1
5,2016-05-13,48.11,17782,1796,3
6,2016-04-07,81.1,33525,3209,4
7,2016-04-14,11.34,3914,368,1
8,2016-04-04,46.86,11114,1779,3
9,2016-04-08,54.019999999999996,16659,2113,3
10,2016-05-18,15.83,2699,611,1
11,2016-04-22,77.16,27840,3045,4
12,2016-04-15,33.11,9286,1270,2
13,2016-04-10,43.620000000000005,21694,1534,3
14,2016-03-31,121.28,81266,5161,3
15,2016-04-18,51.92,17548,2192,2
16,2016-04-01,9.85,1990,304,1
17,2016-04-12,24.12,10339,989,1
