,date,fare
0,2016-04-17,113.63
1,2016-04-19,41.129999999999995
2,2016-06-11,489.43
3,2016-05-22,321.46999999999997
4,2016-05-26,111.02000000000001
5,2016-05-03,119.8
6,2016-05-08,226.05
7,2016-05-21,191.02000000000004
8,2016-05-15,128.87
9,2016-06-17,226.52999999999997
10,2016-05-31,257.61999999999995
11,2016-04-25,175.97999999999996
12,2016-05-14,427.25
13,2016-06-13,263.46999999999997
14,2016-05-29,273.83
15,2016-06-26,376.08
16,2016-05-27,217.35999999999999
17,2016-06-21,84.60000000000001
18,2016-05-20,98.24999999999999
19,2016-06-25,376.57
20,2016-05-30,313.22
21,2016-04-22,57.660000000000004
22,2016-06-12,264.27
23,2016-06-14,296.49999999999994
24,2016-05-28,302.52000000000004
25,2016-05-01,238.69999999999996
26,2016-04-30,91.72
27,2016-06-19,319.02
28,2016-05-12,22.9
29,2016-04-28,115.89000000000001
30,2016-06-22,129.05
31,2016-05-24,167.9
32,2016-06-24,125.96999999999998
33,2016-05-02,140.05
34,2016-06-18,61.67999999999999
35,2016-05-07,195.79999999999998
36,2016-04-24,48.32
37,2016-05-25,140.85999999999999
38,2016-05-13,190.9
39,2016-04-27,109.18
40,2016-06-23,46.540000000000006
41,2016-04-18,31.17
42,2016-05-16,102.35
43,2016-05-19,106.22
44,2016-06-01,135.75
45,2016-06-20,42.49
46,2016-05-09,21.88
47,2016-05-23,21.61
48,2016-04-26,15.86
