,date,fare
0,2016-05-01,443.26
1,2016-05-03,176.98
2,2016-05-27,192.37
3,2016-06-12,244.41000000000005
4,2016-04-08,168.89
5,2016-05-17,211.51
6,2016-06-11,536.01
7,2016-05-06,120.06
8,2016-05-05,45.46
9,2016-06-06,245.14999999999998
10,2016-05-08,268.56
11,2016-05-28,285.22999999999996
12,2016-05-16,201.50999999999996
13,2016-06-26,356.79
14,2016-04-15,238.29
15,2016-05-21,204.42000000000002
16,2016-06-24,354.4
17,2016-05-12,68.94
18,2016-06-05,223.84
19,2016-06-18,333.14000000000004
20,2016-03-30,70.6
21,2016-05-29,152.17
22,2016-05-02,352.26000000000005
23,2016-03-29,161.55999999999997
24,2016-05-22,85.12
25,2016-06-01,81.42999999999999
26,2016-06-03,198.47000000000003
27,2016-05-24,137.72
28,2016-05-20,454.66999999999996
29,2016-05-10,293.36
30,2016-05-09,143.08
31,2016-03-31,206.01999999999998
32,2016-06-23,285.09
33,2016-04-06,148.37
34,2016-04-29,130.60999999999999
35,2016-04-22,253.85
36,2016-05-19,99.80000000000001
37,2016-04-09,155.96
38,2016-04-25,118.22999999999999
39,2016-06-10,192.20000000000002
40,2016-05-04,380.02
41,2016-05-07,251.39000000000001
42,2016-05-18,36.24
43,2016-04-02,135.14
44,2016-06-19,278.51
45,2016-05-31,75.28
46,2016-06-07,14.08
47,2016-05-14,105.21000000000001
48,2016-06-25,47.44
49,2016-04-01,64.92
50,2016-05-25,126.88999999999999
51,2016-04-07,164.99
