,date,fare
0,2016-06-07,125.32
1,2016-06-21,277.52
2,2016-05-23,219.32
3,2016-06-24,139.45
4,2016-06-14,329.20000000000005
5,2016-05-20,284.56
6,2016-06-15,176.43999999999997
7,2016-06-03,161.23
8,2016-06-08,166.58
9,2016-06-25,72.71000000000001
10,2016-05-22,96.14
11,2016-05-26,104.19999999999999
12,2016-05-31,245.67000000000002
13,2016-05-24,101.85000000000001
14,2016-05-28,108.22999999999999
15,2016-06-16,65.25
16,2016-06-01,244.69
17,2016-05-29,45.57
18,2016-05-25,160.55
19,2016-06-22,41.42
20,2016-05-30,113.69999999999999
21,2016-06-06,294.01
22,2016-06-23,104.16
23,2016-06-02,13.99
24,2016-06-20,76.31
25,2016-05-11,30.740000000000002
26,2016-06-09,85.58
27,2016-06-18,76.42
