,date,fare,distance,duration,number of ride
0,2016-06-22,105.5,32814,4097,6
1,2016-04-23,186.75,64053,7330,10
2,2016-06-04,144.13,40480,5861,7
3,2016-04-28,123.13000000000001,39944,4770,7
4,2016-06-16,92.88000000000001,17441,3352,7
5,2016-04-16,38.28,6030,1563,2
6,2016-05-06,47.58,7903,1839,3
7,2016-04-15,54.78,17426,2147,3
8,2016-06-09,72.52000000000001,24019,2634,5
9,2016-05-15,15.58,3666,591,1
10,2016-05-13,124.00999999999999,40352,4617,8
11,2016-05-21,87.66,31704,3369,5
12,2016-05-20,13.55,2856,491,1
13,2016-05-12,61.410000000000004,32102,2388,3
14,2016-06-07,186.8,58587,7176,11
15,2016-06-25,78.32,26515,3115,4
16,2016-04-12,82.79999999999998,33073,3106,5
17,2016-04-14,228.78000000000003,80329,9602,9
18,2016-05-22,150.11,35268,5624,10
19,2016-05-14,243.48999999999998,59063,9543,14
20,2016-04-30,27.689999999999998,5478,1014,2
21,2016-06-18,156.41,60722,5967,9
22,2016-06-26,177.47,98777,7185,7
23,2016-06-20,28.259999999999998,5377,1045,2
24,2016-04-29,231.7,59145,9123,13
25,2016-04-22,123.92000000000002,53036,4913,6
26,2016-05-19,96.81,38906,4187,3
27,2016-04-19,81.91,18435,3164,5
28,2016-06-17,157.61,49135,6112,9
29,2016-05-07,165.49999999999997,102670,6729,6
30,2016-05-04,150.89999999999998,46333,5977,8
31,2016-04-26,83.32000000000001,26716,3374,4
32,2016-04-21,162.15,71607,6775,6
33,2016-06-21,79.03,19701,3005,5
34,2016-06-02,44.61,21929,1780,2
35,2016-06-06,153.78000000000003,45760,6132,8
36,2016-04-17,75.23,55492,3138,2
37,2016-06-15,44.3,11955,1639,3
38,2016-05-29,57.71999999999999,36583,2164,3
39,2016-05-03,104.42,58726,4442,3
40,2016-05-18,82.24000000000001,51366,3338,3
41,2016-05-16,14.18,6744,496,1
42,2016-04-13,27.119999999999997,13159,930,2
