,date,fare,distance,duration,number of ride
0,2016-05-27,72.55,13493,2711,5
1,2016-04-21,120.14999999999999,41707,4797,6
2,2016-04-30,128.58,27726,5103,7
3,2016-05-05,203.78,67715,8193,10
4,2016-05-10,222.61,79936,9479,8
5,2016-06-20,153.96,33592,5641,11
6,2016-05-31,270.56,73875,10459,16
7,2016-06-17,206.20999999999998,43002,7712,14
8,2016-06-13,279.59000000000003,122081,11174,13
9,2016-06-08,122.09,21344,4653,8
10,2016-06-12,113.77000000000001,38030,4296,7
11,2016-05-25,194.84999999999997,57702,7798,10
12,2016-06-06,282.34,71754,10894,17
13,2016-06-14,195.29,56433,7831,10
14,2016-05-17,132.0,35870,5457,6
15,2016-06-11,149.58,39256,5959,8
16,2016-06-18,261.03,60989,10053,16
17,2016-05-20,148.87,95455,5912,6
18,2016-04-22,69.10000000000001,11694,2739,4
19,2016-04-29,249.53000000000003,81512,10872,8
20,2016-05-14,298.52,164747,12247,11
21,2016-05-12,325.12999999999994,95192,12763,18
22,2016-05-04,259.68,74457,10474,13
23,2016-06-23,214.30000000000004,53822,8645,11
24,2016-04-27,95.31,37623,3726,5
25,2016-05-23,236.19,60591,9934,10
26,2016-06-16,66.36,25555,2693,3
27,2016-06-10,153.95999999999998,29840,6450,7
28,2016-06-09,143.26,64956,6033,5
29,2016-05-19,186.13000000000002,82513,7167,10
30,2016-05-06,262.37999999999994,83304,11139,10
31,2016-04-25,103.87,37668,4172,5
32,2016-05-02,110.64,33609,4359,6
33,2016-06-15,179.62,35639,7943,6
34,2016-04-17,115.48999999999998,32954,4421,7
35,2016-06-21,115.89999999999999,48460,4919,4
36,2016-04-23,38.24,18543,1472,2
37,2016-06-03,112.85000000000001,29957,4500,6
38,2016-05-21,19.65,11694,746,1
39,2016-04-28,75.44,57141,3137,2
40,2016-05-15,14.58,5791,524,1
