,date,fare,distance,duration,number of ride
0,2016-06-12,72.77,40452,2725,4
1,2016-04-28,137.58,45570,5288,8
2,2016-05-11,197.01000000000002,98881,7420,11
3,2016-04-25,97.75000000000001,15477,3424,8
4,2016-05-23,233.95,103161,8536,15
5,2016-04-21,63.0,20471,2359,4
6,2016-05-15,239.62,148102,9098,12
7,2016-06-18,137.81,56858,5611,6
8,2016-05-21,81.84,26720,3101,5
9,2016-04-16,143.27,61870,5273,9
10,2016-04-29,242.22999999999996,89583,8673,17
11,2016-06-11,116.54,54956,4267,7
12,2016-06-24,249.14,112978,9454,14
13,2016-06-26,191.82,59097,6995,13
14,2016-04-23,129.05,37235,4902,8
15,2016-04-15,76.79,38793,3143,3
16,2016-05-01,34.97,9050,1173,3
17,2016-06-16,336.26,130338,15636,5
18,2016-04-20,84.74,24566,3072,6
19,2016-06-19,53.72,20588,1873,4
20,2016-05-14,167.75,102248,6653,7
21,2016-06-20,131.35999999999999,59122,5258,6
22,2016-06-15,12.39,3448,426,1
23,2016-06-09,139.81,108298,5348,6
24,2016-04-14,27.77,3838,1030,2
25,2016-05-25,128.71,60711,5304,5
26,2016-05-24,105.7,27450,3950,7
