,date,fare
0,2016-06-03,319.66999999999996
1,2016-05-26,204.68
2,2016-05-07,243.24
3,2016-05-27,145.94
4,2016-05-28,265.26
5,2016-06-25,239.01
6,2016-06-24,147.93
7,2016-06-15,174.64999999999998
8,2016-06-16,111.94
9,2016-05-01,323.17
10,2016-05-08,142.55999999999997
11,2016-05-29,143.32999999999998
12,2016-06-05,351.31999999999994
13,2016-05-15,411.77
14,2016-06-08,168.93000000000004
15,2016-05-23,57.37
16,2016-06-01,240.97000000000003
17,2016-05-21,432.39
18,2016-05-22,114.94
19,2016-05-30,396.24
20,2016-06-13,51.09
21,2016-06-04,238.7
22,2016-05-16,102.28
23,2016-06-18,25.52
24,2016-06-26,95.39
25,2016-05-05,158.75
26,2016-06-19,11.64
27,2016-06-22,99.34
28,2016-05-02,108.36
29,2016-05-20,84.0
30,2016-06-12,123.61999999999999
31,2016-06-11,53.11
32,2016-05-04,30.09
33,2016-06-09,13.21
34,2016-05-14,34.47
35,2016-06-07,46.31
36,2016-05-18,13.71
37,2016-05-31,9.66
