,date,fare
0,2016-04-28,25.39
1,2016-05-30,49.39
2,2016-05-05,9.28
3,2016-05-18,17.39
4,2016-05-01,25.32
5,2016-05-23,7.99
6,2016-05-06,51.25
7,2016-04-16,25.93
8,2016-05-09,68.28999999999999
9,2016-04-26,45.51
10,2016-05-17,28.759999999999998
11,2016-05-08,50.4
12,2016-05-26,41.88
13,2016-04-20,28.15
14,2016-05-04,9.4
15,2016-04-15,26.52
16,2016-05-07,19.26
17,2016-04-14,12.71
18,2016-05-20,74.82
19,2016-04-21,49.42
20,2016-04-30,18.02
21,2016-05-03,22.66
22,2016-05-21,11.93
23,2016-04-22,93.89
24,2016-04-19,19.53
25,2016-04-13,18.07
26,2016-04-23,26.34
27,2016-04-18,21.85
28,2016-04-17,11.84
29,2016-05-25,44.44
