,date,fare
0,2016-05-31,217.93
1,2016-06-22,155.67000000000002
2,2016-05-05,168.08
3,2016-04-25,174.10999999999999
4,2016-06-07,18.2
5,2016-05-26,132.34
6,2016-05-02,141.67
7,2016-06-16,63.35
8,2016-06-20,129.1
9,2016-06-04,56.3
10,2016-06-14,54.05
11,2016-06-19,192.24
12,2016-05-10,301.52
13,2016-05-06,147.65
14,2016-05-12,125.48
15,2016-05-23,281.96
16,2016-05-20,235.16
17,2016-06-03,48.459999999999994
18,2016-06-18,89.66
19,2016-05-09,158.72
20,2016-06-02,52.86
21,2016-06-12,69.47
22,2016-04-22,188.22
23,2016-05-13,145.00000000000003
24,2016-04-23,55.260000000000005
25,2016-04-21,52.18
26,2016-06-21,125.46
27,2016-05-16,227.72
28,2016-05-19,72.32000000000001
29,2016-06-08,133.09
30,2016-06-15,179.02
31,2016-06-13,61.72
32,2016-04-28,157.57
33,2016-05-17,47.1
34,2016-06-23,78.9
35,2016-06-01,29.119999999999997
36,2016-05-24,100.92
37,2016-04-19,21.91
38,2016-04-29,41.45
39,2016-06-17,67.61
40,2016-05-18,30.89
41,2016-05-07,73.61
42,2016-05-11,87.97000000000001
43,2016-05-21,54.83
44,2016-06-05,8.7
45,2016-04-20,54.45
46,2016-04-27,42.47
47,2016-04-18,72.87
