,date,fare,distance,duration,number of ride
0,2016-05-06,111.47999999999999,41787,4540,5
1,2016-04-29,132.71,40602,4873,9
2,2016-05-07,100.72999999999999,35378,3633,7
3,2016-05-20,25.75,11666,869,2
4,2016-04-20,91.81,49281,3460,5
5,2016-05-13,102.10000000000001,21596,3999,6
6,2016-05-21,22.23,15868,851,1
7,2016-05-12,160.91,81457,7032,4
8,2016-04-18,73.78,69432,2963,2
9,2016-05-15,115.58000000000001,70599,4744,4
10,2016-05-16,64.77,24261,2815,2
11,2016-05-10,59.81,34656,2287,3
12,2016-06-23,84.41,60974,3382,3
13,2016-05-03,17.61,10530,648,1
14,2016-04-19,25.04,18615,978,1
