,date,fare
0,2016-06-17,333.3
1,2016-05-19,529.8599999999999
2,2016-05-17,402.1
3,2016-06-25,212.89000000000001
4,2016-06-22,219.84000000000003
5,2016-06-23,357.50999999999993
6,2016-05-10,198.97000000000003
7,2016-05-12,334.35999999999996
8,2016-06-09,426.23999999999995
9,2016-05-28,107.83999999999999
10,2016-05-21,434.18999999999994
11,2016-05-14,225.64
12,2016-05-26,237.69000000000003
13,2016-05-09,180.14
14,2016-06-01,122.32
15,2016-05-27,374.14
16,2016-05-29,181.35000000000002
17,2016-05-18,335.96999999999997
18,2016-05-25,358.72
19,2016-06-14,113.15
20,2016-06-16,326.05
21,2016-06-13,251.9
22,2016-05-16,205.57
23,2016-06-24,274.01000000000005
24,2016-05-11,281.18
25,2016-06-06,316.05000000000007
26,2016-05-24,182.13
27,2016-06-04,197.89
28,2016-05-13,390.15000000000003
29,2016-05-08,178.91
30,2016-06-15,189.12
31,2016-05-30,321.95
32,2016-05-15,211.24
33,2016-06-18,261.77
34,2016-05-23,160.82000000000002
35,2016-06-19,201.47
36,2016-05-20,166.91
37,2016-05-07,92.42999999999999
38,2016-05-22,98.22000000000001
39,2016-06-05,53.18000000000001
40,2016-06-03,64.75
41,2016-06-20,86.06
42,2016-06-02,235.0
43,2016-05-31,105.72
44,2016-06-07,14.39
