,date,fare,distance,duration,number of ride
0,2016-06-15,24.42,5049,847,2
1,2016-04-17,152.69000000000003,66676,6122,7
2,2016-05-06,60.45,13483,2471,3
3,2016-04-28,55.62,10116,2047,4
4,2016-04-20,31.17,5285,1393,1
5,2016-05-28,197.18999999999997,54492,7552,12
6,2016-06-26,27.38,5350,999,2
7,2016-06-25,230.36,50817,9309,12
8,2016-06-11,293.88,75030,11428,17
9,2016-04-22,134.51999999999998,29467,5243,8
10,2016-05-13,123.26,35948,4805,7
11,2016-05-25,146.48,45218,5950,7
12,2016-06-10,131.97,44737,5392,6
13,2016-05-20,172.46000000000004,37311,7167,8
14,2016-06-03,80.99,35299,3387,3
15,2016-05-22,81.97,47417,3156,4
16,2016-06-08,59.69,16039,2413,3
17,2016-04-21,64.47999999999999,34193,2729,2
18,2016-06-17,106.05,80645,4175,4
19,2016-05-11,60.61,16533,2262,4
20,2016-04-30,182.42000000000002,53190,6987,11
21,2016-05-04,56.120000000000005,13134,2052,4
22,2016-04-15,121.83000000000001,28489,4979,6
23,2016-06-12,31.88,10415,1198,2
24,2016-04-29,63.519999999999996,24556,2356,4
25,2016-05-18,110.66,39018,4517,5
26,2016-05-14,175.4,45249,6873,10
27,2016-06-02,61.61,19988,2485,3
28,2016-05-01,63.980000000000004,15491,2445,4
29,2016-06-01,53.589999999999996,9848,2139,3
30,2016-05-27,115.13999999999999,23857,4468,7
31,2016-06-18,23.939999999999998,4982,822,2
32,2016-06-23,70.42999999999999,15968,2778,4
33,2016-06-16,83.28999999999999,19414,3229,5
34,2016-05-05,98.69,20750,3827,6
35,2016-05-10,80.88,17752,2919,6
36,2016-04-16,39.0,10134,1571,2
37,2016-05-21,97.44999999999999,27548,3909,5
38,2016-05-26,71.23,17689,2808,4
39,2016-06-05,49.22,21472,2024,2
40,2016-06-09,101.8,53270,4149,4
41,2016-06-04,40.78,11671,1458,3
42,2016-04-23,77.65,40669,3174,3
43,2016-05-19,36.44,6205,1270,3
44,2016-04-14,50.739999999999995,15088,2148,2
45,2016-05-07,26.080000000000002,4918,934,2
46,2016-05-12,32.15,10293,1213,2
47,2016-05-15,13.3,2813,478,1
48,2016-05-24,15.52,3105,592,1
49,2016-05-03,35.97,23450,1514,1
