,date,fare,distance,duration,number of ride
0,2016-05-21,247.96999999999997,103313,10243,10
1,2016-05-06,248.12,109047,10602,8
2,2016-05-07,14.66,4267,539,1
3,2016-06-02,248.45000000000002,138847,10603,7
4,2016-05-29,426.04999999999995,255391,18059,12
5,2016-05-16,87.14,20344,3814,3
6,2016-04-26,15.87,3432,608,1
7,2016-06-03,212.54000000000002,73419,8805,9
8,2016-05-31,68.02,24560,2591,4
9,2016-06-17,146.45,85437,5857,6
10,2016-06-23,151.38,39812,5854,9
11,2016-06-07,165.62,63917,6620,8
12,2016-06-21,112.61,37934,4431,6
13,2016-06-01,243.28000000000003,110210,10342,8
14,2016-06-25,188.57000000000002,45033,7952,8
15,2016-06-14,149.64000000000001,74651,6492,4
16,2016-05-24,104.78,36421,4424,4
17,2016-05-02,167.94,32351,6966,8
18,2016-06-04,191.09,78944,7645,9
19,2016-06-08,168.48,63616,6576,9
20,2016-05-10,229.21,78285,9248,11
21,2016-05-09,33.13,8307,1278,2
22,2016-06-11,112.6,49145,4937,3
23,2016-06-09,216.97,104278,8815,9
24,2016-05-27,344.46000000000004,119534,14380,14
25,2016-05-04,145.86,97280,5696,6
26,2016-05-05,89.56,22304,3731,4
27,2016-06-15,49.61,37522,2125,1
28,2016-06-10,84.47000000000001,20356,3088,6
29,2016-06-06,54.36,26517,2029,3
30,2016-05-08,172.96999999999997,72764,6549,10
31,2016-06-18,159.0,112777,6513,5
32,2016-04-30,141.78,44146,5909,6
33,2016-05-13,91.75,28817,3799,4
34,2016-06-20,128.54999999999998,43524,5027,7
35,2016-05-26,109.98,43563,4449,5
36,2016-04-28,168.89999999999998,17839,7707,5
37,2016-06-16,118.15,33077,5146,4
38,2016-05-17,178.65,48710,6626,12
39,2016-05-14,149.56,87181,6203,5
40,2016-05-19,293.53999999999996,115810,12142,12
41,2016-05-20,241.53,98892,9940,10
42,2016-05-15,89.42,44921,3562,4
43,2016-05-12,92.93,37763,3797,4
44,2016-05-18,317.53,139397,13811,9
45,2016-05-23,49.970000000000006,9746,1950,3
46,2016-05-30,67.27,20499,2581,4
47,2016-05-11,38.67,19522,1487,2
48,2016-06-26,130.16,64536,5352,5
49,2016-05-03,66.57,11343,2610,4
50,2016-06-24,88.74,51676,3674,3
51,2016-05-25,48.71,11642,2067,2
52,2016-05-22,68.32000000000001,17542,3048,2
53,2016-06-22,9.92,1378,312,1
54,2016-06-05,19.35,5346,776,1
