,date,fare,distance,duration,number of ride
0,2016-05-24,381.8999999999999,71586,16089,17
1,2016-05-14,292.92999999999995,69223,11463,17
2,2016-05-21,294.44,68307,12527,12
3,2016-06-08,282.96,52812,11648,14
4,2016-05-15,437.15000000000003,102829,18161,20
5,2016-05-17,211.79,49183,8742,10
6,2016-06-14,200.39999999999998,55080,7910,11
7,2016-06-15,129.11999999999998,25386,5186,7
8,2016-06-16,198.68,47382,8072,10
9,2016-05-20,211.09000000000003,36372,8406,12
10,2016-05-13,236.36,53531,9602,12
11,2016-06-03,365.12,90405,15080,17
12,2016-06-01,164.01999999999998,30572,6384,10
13,2016-05-11,291.96,63073,12043,14
14,2016-05-09,291.39,61625,11438,17
15,2016-05-19,212.37,36912,8664,11
16,2016-05-25,195.79999999999998,33660,8019,10
17,2016-06-02,271.94,69668,11540,11
18,2016-06-17,98.58000000000001,18151,4231,4
19,2016-06-06,246.43,80617,10326,10
20,2016-06-18,196.63,44498,8180,9
21,2016-05-22,359.29,102113,14497,18
22,2016-06-04,332.87,89444,13795,15
23,2016-06-22,248.26999999999998,49449,10253,12
24,2016-06-20,237.47,59167,9816,11
25,2016-06-09,190.99,62038,7957,8
26,2016-06-21,222.88,52328,9103,11
27,2016-05-26,92.06,11897,3740,5
28,2016-05-05,183.15,49522,7246,10
29,2016-06-11,199.92000000000004,37792,8009,11
30,2016-06-26,273.88000000000005,115049,11513,10
31,2016-05-06,233.55999999999997,47447,9500,12
32,2016-06-10,354.05,108329,14765,15
33,2016-06-23,182.31,32134,7326,10
34,2016-05-31,81.21000000000001,13469,2772,7
35,2016-05-04,219.69000000000003,52586,9130,10
36,2016-06-12,107.67999999999999,24714,4464,5
37,2016-06-13,178.76000000000002,76592,7410,7
38,2016-05-10,194.42000000000002,54149,7800,10
39,2016-06-25,60.65,17579,2452,3
40,2016-05-12,296.9200000000001,50998,11410,19
41,2016-05-08,105.31,30289,4496,4
42,2016-05-16,260.38,68049,10947,11
43,2016-05-18,286.49,52362,11834,14
44,2016-05-30,152.45,71985,5876,8
45,2016-06-19,125.99000000000001,29227,4995,7
46,2016-05-07,259.63,75182,10467,13
47,2016-06-05,231.61999999999998,62022,9490,11
48,2016-06-07,298.79,114357,12620,11
49,2016-06-24,292.42,85189,12496,11
50,2016-05-23,236.01999999999998,126606,10042,7
51,2016-05-03,21.19,5713,869,1
