,date,fare,distance,duration,number of ride
0,2016-05-01,20.86,6253,848,1
1,2016-05-21,27.240000000000002,6813,981,2
2,2016-05-17,14.09,3129,517,1
3,2016-05-16,60.56,28331,2371,3
4,2016-05-18,15.46,5491,572,1
5,2016-05-14,11.36,3099,375,1
6,2016-05-19,43.79,9041,1633,3
7,2016-05-20,63.550000000000004,18445,2597,3
8,2016-05-25,23.28,4001,795,2
9,2016-05-13,26.98,5361,1174,1
10,2016-05-03,10.12,1622,321,1
11,2016-06-01,25.56,22135,980,1
12,2016-05-12,27.97,19042,1128,1
13,2016-05-24,58.18,10226,2376,3
14,2016-05-04,11.93,2333,410,1
15,2016-05-26,53.25,30262,2367,1
16,2016-06-05,27.7,7662,1195,1
17,2016-05-08,28.93,22119,1156,1
