,date,fare,distance,duration,number of ride
0,2016-05-11,137.28000000000003,42687,5098,9
1,2016-06-07,170.66000000000003,62311,6894,8
2,2016-05-09,182.29,79710,7182,9
3,2016-05-10,227.87000000000003,116202,9300,9
4,2016-06-26,333.47999999999996,109165,14078,13
5,2016-05-03,143.4,65038,5453,8
6,2016-06-08,370.28999999999996,110531,15596,15
7,2016-04-26,133.68,45708,5083,8
8,2016-06-22,153.58999999999997,69847,5950,8
9,2016-06-25,242.97,103363,10374,8
10,2016-05-31,132.29,52996,5350,6
11,2016-06-16,136.64,78400,5591,5
12,2016-04-27,129.07,68677,5266,5
13,2016-06-21,180.84,55572,7669,7
14,2016-04-25,63.5,26406,2147,5
15,2016-06-09,148.39000000000001,75522,5834,7
16,2016-05-06,43.67,16655,1768,2
17,2016-06-14,140.98,51201,5621,7
18,2016-06-20,266.78000000000003,88320,10550,14
19,2016-06-02,372.88,185841,16368,9
20,2016-06-23,239.59999999999997,115449,9721,10
21,2016-05-05,125.27,32783,5128,6
22,2016-05-12,297.89,146333,12542,10
23,2016-04-30,77.01,49291,3275,2
24,2016-06-24,201.8,133545,8402,6
25,2016-06-06,95.67999999999999,13469,3917,5
26,2016-05-04,65.83,32132,2619,3
27,2016-04-28,54.79,11679,1993,4
28,2016-06-15,97.76,34470,3877,5
29,2016-06-19,14.57,7059,514,1
30,2016-04-24,46.71,40021,1956,1
31,2016-05-30,21.79,15999,827,1
32,2016-05-27,48.18,24974,2140,1
