,date,fare
0,2016-05-04,274.01
1,2016-04-29,307.79
2,2016-04-15,402.31
3,2016-05-26,62.93
4,2016-04-22,311.27
5,2016-05-12,328.4599999999999
6,2016-05-14,158.32999999999998
7,2016-06-25,66.94
8,2016-05-06,337.85999999999996
9,2016-04-01,432.60999999999996
10,2016-05-07,121.87
11,2016-05-03,273.04
12,2016-04-19,316.6
13,2016-04-09,67.59
14,2016-05-10,130.04
15,2016-05-05,264.85
16,2016-04-05,402.94
17,2016-06-24,153.55999999999997
18,2016-06-08,73.37
19,2016-04-04,308.79
20,2016-04-12,266.84000000000003
21,2016-04-13,272.72
22,2016-03-31,193.67000000000002
23,2016-04-06,206.47000000000003
24,2016-04-30,158.33
25,2016-04-20,255.79
26,2016-05-13,131.01
27,2016-04-02,238.22
28,2016-05-18,97.59
29,2016-04-11,179.74
30,2016-04-28,294.88000000000005
31,2016-06-02,21.93
32,2016-05-20,43.66
33,2016-04-26,250.88
34,2016-04-21,418.47999999999996
35,2016-04-14,173.67000000000002
36,2016-04-08,327.7699999999999
37,2016-05-24,44.56
38,2016-04-07,66.87
39,2016-05-17,95.92
40,2016-06-15,48.44
41,2016-04-27,167.31
42,2016-04-25,142.99
43,2016-05-02,152.68
44,2016-05-15,117.59
45,2016-06-05,78.28999999999999
46,2016-06-03,106.41
47,2016-05-16,24.86
48,2016-04-16,84.45
49,2016-06-06,44.72
50,2016-06-20,20.37
51,2016-06-07,18.97
52,2016-05-31,86.65
53,2016-05-11,357.72999999999996
54,2016-06-04,64.66
55,2016-06-23,29.090000000000003
56,2016-05-27,71.36
57,2016-05-23,10.41
