,date,fare
0,2016-05-20,229.73000000000002
1,2016-04-08,334.04
2,2016-04-07,331.4
3,2016-05-05,90.9
4,2016-05-17,243.11000000000004
5,2016-06-03,161.85999999999999
6,2016-06-16,169.07999999999998
7,2016-04-10,89.1
8,2016-05-31,137.07999999999998
9,2016-04-25,252.50000000000003
10,2016-05-09,229.86999999999998
11,2016-05-23,156.94
12,2016-05-28,149.97000000000003
13,2016-04-04,79.16
14,2016-05-16,185.20999999999998
15,2016-06-01,255.15
16,2016-03-28,355.32000000000005
17,2016-06-02,216.61
18,2016-04-22,227.61999999999998
19,2016-03-30,250.30999999999997
20,2016-04-21,275.82000000000005
21,2016-04-13,266.34000000000003
22,2016-04-20,317.59000000000003
23,2016-04-01,294.03
24,2016-05-06,198.17
25,2016-05-27,134.72
26,2016-03-31,250.0
27,2016-05-25,65.82
28,2016-04-15,175.29
29,2016-04-18,242.04
30,2016-04-09,266.71
31,2016-04-14,277.39
32,2016-04-27,73.35
33,2016-06-13,204.35999999999996
34,2016-05-15,57.1
35,2016-04-11,214.4
36,2016-05-26,250.78
37,2016-06-15,163.8
38,2016-05-11,171.09000000000003
39,2016-06-10,118.19
40,2016-05-04,115.69000000000001
41,2016-06-09,198.76000000000002
42,2016-05-30,174.43
43,2016-05-10,120.88000000000001
44,2016-06-17,81.94
45,2016-05-13,242.9
46,2016-06-06,94.81
47,2016-04-19,113.80999999999999
48,2016-06-07,62.74
49,2016-03-29,46.35999999999999
50,2016-04-02,105.86
51,2016-05-07,80.32
52,2016-04-12,139.85
53,2016-04-06,136.51
54,2016-05-19,184.43
55,2016-05-24,32.33
56,2016-05-12,112.57
57,2016-04-26,155.35999999999999
58,2016-04-05,15.54
59,2016-06-14,104.63
60,2016-05-18,193.39000000000001
